"CODE","NAME","DATE","mean","median","sd","min","max"
241380,"Taboleiro Grande","2016-10-31",0.1091,0.096,0.042,0.044,0.256
241390,"Taipu","2016-10-31",0.1238,0.112,0.0604,0.028,0.344
241400,"Tangará","2016-10-31",0.0843,0.084,0.0278,0.016,0.2
241410,"Tenente Ananias","2016-10-31",0.1111,0.108,0.0198,0.068,0.172
241415,"Tenente Laurentino Cruz","2016-10-31",0.1252,0.124,0.0274,0.068,0.188
241420,"Tibau do Sul","2016-10-31",0.3185,0.326,0.1262,0.004,0.7
241430,"Timbaúba dos Batistas","2016-10-31",0.084,0.082,0.0227,0.044,0.168
241440,"Touros","2016-10-31",0.1708,0.152,0.0855,0.004,0.532
241445,"Triunfo Potiguar","2016-10-31",0.0964,0.084,0.0394,0.032,0.296
241450,"Umarizal","2016-10-31",0.1289,0.124,0.0435,0.048,0.404
241460,"Upanema","2016-10-31",0.0933,0.092,0.0325,0.024,0.328
241470,"Várzea","2016-10-31",0.1013,0.088,0.0463,0.032,0.364
241475,"Venha-Ver","2016-10-31",0.1313,0.128,0.0262,0.088,0.248
241480,"Vera Cruz","2016-10-31",0.198,0.19,0.0701,0.068,0.448
241490,"Viçosa","2016-10-31",0.1664,0.164,0.0445,0.056,0.268
241500,"Vila Flor","2016-10-31",0.3729,0.374,0.0767,0.18,0.544
250010,"Água Branca","2016-10-31",0.1372,0.136,0.0225,0.076,0.196
250020,"Aguiar","2016-10-31",0.152,0.152,0.0336,0.076,0.268
250030,"Alagoa Grande","2016-10-31",0.1885,0.14,0.1294,0.048,0.912
250040,"Alagoa Nova","2016-10-31",0.2161,0.212,0.0608,0.092,0.364
250050,"Alagoinha","2016-10-31",0.1891,0.178,0.0658,0.072,0.476
250053,"Alcantil","2016-10-31",0.0916,0.088,0.0216,0.024,0.156
250057,"Algodão de Jandaíra","2016-10-31",0.1106,0.108,0.0341,0.04,0.236
250060,"Alhandra","2016-10-31",0.3505,0.36,0.1002,0.108,0.64
250070,"São João do Rio do Peixe","2016-10-31",0.1374,0.132,0.0409,0.06,0.372
250073,"Amparo","2016-10-31",0.1257,0.124,0.0195,0.076,0.188
250077,"Aparecida","2016-10-31",0.1406,0.136,0.047,0.068,0.468
250080,"Araçagi","2016-10-31",0.1703,0.16,0.0627,0.056,0.488
250090,"Arara","2016-10-31",0.1422,0.128,0.0587,0.052,0.316
250100,"Araruna","2016-10-31",0.1052,0.104,0.0319,0.032,0.276
